"ecommerce","marca","producto","precio_antes","precio_actual","pulgadas"
"ripley","lg","lg smart tv uhd 49"" 49uk7500psb"," 4399.00"," 1999.00",49
"ripley","lg","lg smart tv uhd 50"" 50uk6550psb"," 3699.00"," 1799.00",50
"ripley","lg","lg smart tv uhd 55"" 55uk6350psc"," 4399.00"," 1799.00",55
"ripley","lg","lg smart tv uhd 55"" 55uk6550psb"," 4699.00"," 1999.00",55
"ripley","lg","lg smart tv uhd 55"" 55uk7500psa"," 5499.00"," 2299.00",55
"ripley","lg","lg smart tv uhd 75"" 75uk6570psa","15999.00"," 6799.00",75
"ripley","lg","lg smart tv super uhd 65"" 65sk8000psa","11999.00"," 7999.00",65
"ripley","lg","lg smart tv oled 55"" oled55c8psa","14999.00"," 6499.00",55
"ripley","lg","lg smart tv oled 65"" oled65e8psa","26999.00","17999.00",65
"ripley","lg","lg smart tv uhd 75"" 75sk8000psa","24999.00","14999.00",75
"ripley","samsung","samsung smart tv uhd 55"" 55nu7400"," 3999.00"," 1999.00",55
"ripley","haier","haier smart tv uhd 55'' le55k6500dua"," 1999.00"," 1199.00",55
"ripley","haier","haier smart tv fhd 40'' le40k6500da","  999.00","  769.00",40
"ripley","haier","haier tv hd 32"" le32k6500da","  699.00","  549.00",32
"ripley","hisense","hisense smart tv fhd 43"" h4318fh5ip"," 1299.00","  849.00",43
"ripley","samsung","samsung smart tv qled uhd 55"" 55q60ra"," 4599.00"," 3999.00",55
"ripley","samsung","samsung smart tv fhd 43"" 43j5202"," 1399.00"," 1299.00",43
"ripley","samsung","samsung smart tv uhd 43"" 43ru7100"," 1599.00"," 1399.00",43
"ripley","samsung","samsung smart tv uhd 50"" 50ru7400"," 2599.00"," 1799.00",50
"ripley","samsung","samsung smart tv qled 55"" qn55q70"," 6999.00"," 5999.00",55
"ripley","lg","lg smart tv oled 65"" oled65c9psa","21999.00"," 9999.00",65
"ripley","sony","sony led 49"" 4k hdr android smart tv xbr-49x805e/sla8"," 4999.00"," 1999.00",49
"ripley","sony","sony led 60"" 4k ultra hd smart tv kd-60x695e la8"," 5499.00"," 1999.00",60
"ripley","aoc","aoc tv hd 32"" 32m1370","  699.00","  549.00",32
"ripley","sony","sony led 32"" hd smart tv kdl-32w605d la8"," 1499.00","  899.00",32
"ripley","hisense","hisense smart tv fhd 43"" hle4317rtfipe"," 1299.00","  799.00",43
"ripley","sony","sony led 65"" 4k ultra hd android smart tv xbr-65x905f la8","10999.00"," 4499.00",65
"ripley","sony","sonyled 75"" 4k ultra hd android smart tv xbr-75x855f la8","11999.00"," 5999.00",75
"ripley","sony","sony smart tv uhd 65"" xbr-65x856f"," 9499.00"," 3499.00",65
"ripley","samsung","samsung smart tv qled 65"" qn65q9fnagxpe","15999.00"," 6999.00",65
"ripley","sony","sony led 49"" 4k ultra hd android smart tv kd-49x755f la8"," 4499.00"," 1799.00",49
"ripley","sony","sony led 55"" 4k ultra hd  android smart tv kd-55x755f la8"," 5499.00"," 2199.00",55
"ripley","sony","sony led 65"" 4k ultra hd android smart tv kd-65x755f la8"," 6799.00"," 3299.00",65
"ripley","sony","sony led 65"" 4k ultra hd smart tv kd-65x735f la8"," 7999.00"," 2999.00",65
"ripley","sony","sony led 70"" 4k ultra hd android smart tv xbr-70x835f la8","10999.00"," 4499.00",70
"ripley","samsung","samsung smart tv uhd 65"" 65nu7090"," 3999.00"," 2499.00",65
"ripley","aoc","aoc smart tv hd 32"" le32s5285","  799.00","  649.00",32
"ripley","aoc","aoc smart tv fhd 43"" le43s5285"," 1299.00","  899.00",43
"ripley","philips","philips smart tv oled uhd 55"" 55oled873"," 7999.00"," 4499.00",55
"ripley","samsung","samsung smart tv qled 8k 82"" qn82q900rbgxpe","39999.00","39999.00",82
"ripley","samsung","samsung smart tv qled 8k 75"" qn75q900rbgxpe","29999.00","29999.00",75
"ripley","samsung","samsung smart tv qled uhd 65"" 65q60ra"," 7999.00"," 5999.00",65
"ripley","samsung","samsung smart tv qled uhd 65"" 65q70ra"," 9999.00"," 7999.00",65
"ripley","samsung","samsung smart tv qled uhd 65"" 65q80ra","12999.00"," 9999.00",65
"ripley","samsung","samsung smart tv qled uhd 65"" 65q90ra","14999.00","12999.00",65
"ripley","samsung","samsung smart tv qled uhd 75"" 75q60ra","12999.00"," 8999.00",75
"ripley","sony","sony smart tv fhd 65"" xbr-65x955g"," 9499.00"," 5499.00",65
"ripley","samsung","samsung smart tv uhd 49"" 49ru7300"," 2299.00"," 1549.00",49
"ripley","sony","sony led 55"" 4k ultra hd android smart tv  xbr-55x805e/sla8"," 6999.00"," 2699.00",55
"ripley","aoc","aoc smart tv hd 32'' le32s5970","  799.00","  559.95",32
"ripley","lg","lg smart tv oled 55"" 55b8ssc","12999.00"," 3999.00",55
"ripley","lg","lg smart tv oled 65"" 65b8ssc","18999.00"," 9999.00",65
"ripley","samsung","samsung smart tv uhd 55"" 55ru7400"," 2999.00"," 2299.00",55
"ripley","lg","lg smart tv uhd 65"" 65um7400psa"," 7999.00"," 2999.00",65
"ripley","lg","lg smart tv uhd 65"" 65um7650psb"," 8999.00"," 3499.00",65
"ripley","aoc","aoc smart tv fhd 43'' le43s5970"," 1299.00","  899.00",43
"ripley","aoc","aoc tv uhd 55"" le55u7970"," 2499.00"," 1399.00",55
"ripley","sony","sony led 49"" 4k ultra hd smart tv kd-49x725f/c la8"," 3999.00"," 1549.00",49
"ripley","sony","sony led 40"" full hd smart tv kdl-40w655d la8"," 1999.00"," 1099.00",40
"ripley","samsung","samsung smart tv qled 65"" curvo qn65q8cnagxpe","10999.00"," 5799.00",65
"ripley","samsung","samsung smart tv uhd 75"" 75nu7090"," 8999.00"," 4299.00",75
"ripley","philips","philips smart tv uhd 65"" 65pud6703"," 3999.00"," 2399.00",65
"ripley","samsung","samsung smart tv uhd 65"" 65ru7100"," 3499.00"," 2699.00",65
"ripley","hisense","hisense smart tv fhd 49"" hle4918rtfipe"," 1599.00","  949.00",49
"ripley","lg","lg smart tv led full hd 43"" 43lk5700psc"," 1499.95"," 1149.00",43
"ripley","hisense","hisense smart tv hd 32"" h3218h5ip","  999.00","  599.00",32
