"ecommerce","marca","producto","precio_antes","precio_actual","pulgadas"
"linio","65","nex-televisor led smart tv fhd 43"" led4...","  999.0","  749.00","43"
"linio","lg","tv led lg 43"" smart 43uk6300psb ultra hd..."," 1599.0"," 1299.00","43"
"linio","lg","lg - televisor smart tv 43uk6300 uhd 43""..."," 2199.0"," 1349.00","43"
"linio","lg","tv led lg smart 32'' hd 32lk540bpsa wifi...","  799.0","  729.00","32"
"linio","lg","tv lg smart 43"" uhd 4k 43uk6200psa + con..."," 1399.0"," 1143.90","43"
"linio","lg","tv led 4k lg 65"" 65uk6350 smart tv 65uk6..."," 3199.0"," 2549.00","65"
"linio","lg","tv led 4k lg 65"" 65uk6350 smart tv 65uk6..."," 3999.0"," 3999.00","65"
"linio","lg","televisor lg smart 43'' 43lk5700 full hd..."," 1499.0","  967.00","43"
"linio","lg","lg - televisor led smart tv uhd 4k 55"" 5..."," 1648.0"," 1598.00","55"
"linio","lg","tv lg smart uhd 4k 60"" 60uk6200psa + mag..."," 2989.0"," 1999.00","60"
"linio","lg","lg - tv monitor led 23.6"" hd - 24mt48af","  699.0","  394.80"," 6"
"linio","lg","televisor led lg smart tv uhd 55"" 55uk65..."," 2599.0"," 1899.00","55"
"linio","lg","tv led lg 49"" smart 49lk5400psa full hd,..."," 1699.0"," 1089.00","49"
"linio","lg","lg - smart tv uhd 55"" 55uk6550"," 2999.0"," 2999.00","55"
"linio","lg","televisor led lg smart uhd 4k 70"" 70uk6..."," 4599.0"," 3849.00","70"
"linio","lg","televisor lg led smart fhd 49"" 49lk5400p..."," 1599.0","  999.00","49"
"linio","lg","lg - televisor smart uhd 4k 43"" 43uk6200..."," 1499.0"," 1078.90","43"
"linio","lg","tv lg 49"" uhd 4k smart ai lg 49uk6200 ne..."," 1599.0"," 1399.00","49"
"linio","lg","tv lg smart uhd 4k 60"" 60uk6200psa + mag..."," 2999.0"," 1949.00","60"
"linio","lg","lg - televisor smart tv 43uk6300 uhd 43""..."," 1599.0"," 1349.00","43"
"linio","91","televisor ultra hd jvc lt 50kb585 50"""," 1799.0"," 1799.00","50"
"linio","89","televisor smart led ultra hd 4k 49'' hyl..."," 1399.0","  979.00","49"
"linio","daewoo","daewoo led tv l32t660bts - 32""- negro","  899.0","  569.00","32"
"linio","samsung","samsung smart tv uhd 50"" 50ru7100"," 1799.0"," 1265.00","50"
"linio","aoc","televisor aoc led smartv 32"" 32s5285 - n...","  899.0","  597.00","32"
"linio","92","tv 40"" fhd smart plano 40j5290 negro"," 1299.0","  949.00","40"
"linio","76","smart tv recco 43"" full hd con wifi rle..."," 1199.0","  799.00","43"
"linio","samsung","tv led smart samsung 58"" un58nu7100g ult..."," 2699.0"," 1749.00","58"
"linio","aoc","aoc tv led 22"" full hd - hdmi - usb mult...","  449.0","  338.00","22"
"linio","samsung","tv led samsung smart 32"" hd digital un32...","  999.0","  699.00","32"
"linio","daewoo","televisor daewoo hd led 32"" l32s635bks-n...","  699.0","  529.00","32"
"linio","135","televisor análogo 10"" tv-9210da negro","  399.0","  259.00","10"
"linio","lg","tv led lg smart 32'' hd 32lk540bpsa wifi...","  978.0","  685.90","32"
"linio","139","televisor led 32"" full hd 1080p señal di...","  675.0","  599.90","32"
"linio","141","televisor portatil de 9"" con señal digit...","  289.0","  199.00"," 9"
"linio","140","televisor portatil de 7"" con señal digit...","  199.0","  149.00"," 7"
"linio","148","tv led monitor nex 19"" c/ señal digital...","  419.0","  314.00","19"
