"ecommerce","marca","producto","precio_antes","precio_actual","pulgadas"
"lacuracao","samsung","tv samsung curvo ultra hd 4k smart 55"" un-55ru7300g"," 2699.0"," 1899.0","55"
"lacuracao","samsung","tv samsung ultra hd 4k smart 55"" un-55ru7400g"," 2999.0"," 2999.0","55"
"lacuracao","samsung","tv samsung ultra hd 4k smart 75"" un-75ru7100g"," 6999.0"," 5099.0","75"
"lacuracao","samsung","tv qled samsung ultra hd 4k smart 55"" qn-55q70rag"," 6999.0"," 5899.0","55"
"lacuracao","samsung","tv qled samsung ultra hd 4k smart 75"" qn-75q60rag","12999.0"," 8099.0","75"
"lacuracao","samsung","tv samsung ultra hd 4k smart 43"" un-43ru7100g"," 1599.0"," 1249.0","43"
"lacuracao","samsung","tv samsung curvo ultra hd 4k smart 49"" un-49ru7300g"," 2299.0"," 1549.0","49"
"lacuracao","samsung","tv samsung ultra hd 4k smart 65"" un-65ru7100g"," 3499.0"," 3498.0","65"
"lacuracao","lg","tv lg hd smart 32"" 32lk540b","  849.0","  689.0","32"
"lacuracao","samsung","tv samsung serie 7 ultra hd 4k smart 75"" un-75nu7090g"," 8999.0"," 3599.0","75"
"lacuracao","lg","tv led lg ultra hd 4k smart ai 86"" 86uk6570","10999.0"," 9999.0","86"
"lacuracao","orizon","tv led orizon hd tv 32"" or322led","  749.0","  399.0","32"
"lacuracao","imaco","tv led imaco hd 24"" led24isbt","  529.9","  423.9","24"
"lacuracao","imaco","tv led imaco hd 28"" led28isbt","  599.9","  479.9","28"
"lacuracao","imaco","tv led imaco hd 32"" led32isbt","  649.9","  599.0","32"
"lacuracao","hyundai","tv led hyundai hd 32"" hyled3236d","  849.0","  849.0","32"
"lacuracao","hyundai","tv hyundai ultra hd 4k smart 55"" hyled5514im4k"," 2549.0"," 1499.0","55"
"lacuracao","panasonic","tv panasonic hd smart 43"" tc-43fs500p"," 1499.0","  879.0","43"
"lacuracao","hisense","tv hisense full hd smart 43"" h4318fh5ip"," 1699.0","  949.0","43"
"lacuracao","hisense","tv hisense full hd smart 49"" hle4918rtfipe"," 2099.0","  999.0","49"
"lacuracao","daewoo","tv led daewoo hd 32"" l32t660bts","  649.0","  649.0","32"
"lacuracao","lg","tv lg ultra hd 4k smart ai 55"" oled55b8ssc"," 7999.0"," 4499.0","55"
"lacuracao","lg","tv lg ultra hd 4k smart ai 65"" oled65b8ssc"," 9999.0"," 6299.0","65"
"lacuracao","samsung","tv qled samsung curvo ultra hd 4k smart 65"" qn65q8cna"," 7399.0"," 4749.0","65"
"lacuracao","hisense","tv hisense ultra hd smart 50"" h5018uh6ip"," 2299.0"," 1299.0","50"
"lacuracao","panasonic","tv oled tc-55fz950w 55"" uhd 4k smart panasonic"," 7499.0"," 4399.0","55"
