"ecommerce","marca","producto","precio_antes","precio_actual","pulgadas"
"falabella","samsung","televisor 43"" 4k uhd smart tv un43nu7090gxpe samsung ",NA," 999","43"
"falabella","samsung","televisor 65"" 4k uhd smart tv un65nu7090gxpe",NA," 999","65"
"falabella","samsung","led uhd 4k 55"" smart tv un55ru7100gxpe serie ru7100",NA," 999","55"
"falabella","samsung","televisorled 43"" fhd smart tv 43lk5400psa",NA," 999","43"
"falabella","samsung","televisor 49"" fhd smart tv 49lk5400psa",NA," 999","49"
"falabella","samsung","televisor 49"" 4k uhd smart tv 49uk6200psa",NA," 999","49"
"falabella","samsung","televisor 55"" 4k uhd smart tv 55uk6200psa",NA," 999","55"
"falabella","samsung","televisor 55"" 4k uhd smart tv xbr55x805e/sla8",NA," 999","55"
"falabella","samsung","televisor 65"" 4k uhd smart tv 65uk6350psc",NA," 999","65"
"falabella","samsung","led uhd 4k 65"" smart tv un65ru7100gxpe serie ru7100",NA," 999","65"
"falabella","samsung","televisor 70"" 4k uhd smart tv 70uk6550psa",NA," 999","70"
"falabella","samsung","televisor 65"" 4k uhd smart tv 65uk6350psc + sofã¡ reclinable hanoi 2 cuerpos",NA," 999","65"
"falabella","samsung","televisor 50"" 4k uhd smart tv un50nu7090gxpe",NA," 999","50"
"falabella","samsung","televisor 55"" 4k uhd smart tv un55nu7090gxpe",NA," 999","55"
"falabella","samsung","televisor 43"" fhd smart tv le43s5970",NA," 999","43"
"falabella","samsung","televisor 49"" fhd smart tv 49lk5700psc",NA," 999","49"
"falabella","samsung","televisor 55"" 4k uhd smart tv kd-55x725f la8 ",NA," 999","55"
"falabella","samsung","televisor qled 65"" 4k uhd smart tv qn65q6fnagxpe",NA," 999","65"
"falabella","samsung","televisor 43"" 4k uhd smart tv 43uk6300psb",NA," 999","43"
"falabella","samsung","led 65"" ultra hd smart tv curvo",NA," 999","65"
"falabella","samsung","televisor 43"" fhd smart tv tc-43fs500p",NA," 999","43"
"falabella","samsung","televisor 48"" fhd smart tv kdl-48w655d",NA," 999","48"
"falabella","samsung","televisor 43"" hd smart tv rled-l43d1200sm ",NA," 999","43"
"falabella","samsung","televisor 32"" hd smart tv rled-l32d1200sm",NA," 999","32"
"falabella","samsung","televisor 32"" hd tv tc-32fs500 ",NA," 999","32"
"falabella","samsung","televisor 86"" 4k uhd smart tv 86uk6570psa",NA," 999","86"
"falabella","samsung","televisor 24"" hd  le24h1351",NA," 999","24"
"falabella","samsung","televisor 32"" hd le32m1370",NA," 999","32"
"falabella","samsung","televisor 49"" 4k uhd smart tv xbr49x805e/sla8",NA," 999","49"
"falabella","samsung","televisor 75"" 4k uhd android tv xbr-75x945e la8",NA," 999","75"
"falabella","samsung","rack para tv 23"" a 46"" + cable hdmi + kit de limpieza","  699"," 599","23"
"falabella","samsung","televisor 49"" 4k uhd smart tv tc-49fx600","  699"," 599","49"
"falabella","samsung","led uhd 4k 65"" curvo smart tv un65ru7300gxpe serie ru7300","  699"," 599","65"
"falabella","samsung","televisor oled 65"" 4k uhd smart tv tc-65fz1000w","  699"," 599","65"
"falabella","samsung","televisor qled 75"" 4k uhd smart tv qn75q80ragxpe","  699"," 599","75"
"falabella","samsung","televisor 55"" 4k uhd smart tv un55nu8500gxpe","  699"," 599","55"
"falabella","samsung","televisor qled 82"" 8k uhd smart tv qn82q900rbgxpe","  699"," 599","82"
"falabella","samsung","televisor 55"" 4k uhd smart tv tc-55fx600","  699"," 599","55"
"falabella","samsung","televisor 65"""" 4k uhd smart tv 65uk6350psc + sofã¡ reclinable hanoi 2 cuerpos","  699"," 599","65"
"falabella","samsung","televisor 55"" 4k uhd smart tv rled-l55d1202uh","  699"," 599","55"
"falabella","samsung","televisor oled 55"" 4k uhd smart tv tc-55fz950w","  699"," 599","55"
"falabella","samsung","televisor 32"" hd smart tv le 32s5970s","  699"," 599","32"
"falabella","samsung","televisor 43"" fhd smart tv kdl43md662ln","  699"," 599","43"
"falabella","samsung","televisor 55"" 4k uhd smart tv xbr-55x905f la8","  699"," 599","55"
"falabella","samsung","televisor led 55"" nanocell smart tv ai 55sm8100","  699"," 599","55"
"falabella","samsung","televisor oled 65"" 4k uhd smart tv oled65b8ssc","  699"," 599","65"
"falabella","samsung","televisor 55"" 4k uhd smart tv tc-55fx800w","  699"," 599","55"
"falabella","samsung","televisor 32"" hd smart tv 32s5285","  699"," 599","32"
"falabella","samsung","televisor 43"""" full hd smart tv le 43s5970s + consola ps4 1tb negro hits 4 bundle","  699"," 599","43"
"falabella","bose","led uhd 4k 50"" smart tv un50nu7095gxpe serie nu7095"," 1799","2999","50"
"falabella","bose","televisor 65"" 4k uhd smart tv rled-l65d1850uh"," 1799","2999","65"
"falabella","bose","televisor 50"" 4k uhd smart tv celed98935"," 1799","2999","50"
"falabella","bose","televisor 43"" full hd smart tv le 43s5970s"," 1799","2999","43"
"falabella","bose","televisor 39"" fhd smart tv kdl39md662ln"," 1799","2999","39"
"falabella","bose","televisor 43"" 4k uhd smart tv 43uk6200psa"," 1799","2999","43"
"falabella","bose","led uhd 4k 55"" smart tv un55ru7400gxpe serie ru7400"," 1799","2999","55"
"falabella","bose","televisor 65"" 4k uhd smart tv xbr-65a8f la8 "," 1799","2999","65"
"falabella","bose","televisor 65"" 4k uhd smart tv tc-65gx500p"," 1799","2999","65"
"falabella","bose","rack con brazo tv 21"" a 42"""," 1799","2999","21"
"falabella","bose","televisor 65"" 4k uhd smart tv xbr-65x905f la8"," 1799","2999","65"
"falabella","bose","televisor 65"" 4k uhd smart tv 65pud6703"," 1799","2999","65"
"falabella","bose","televisor 55"" fhd  led55isdbt"," 1799","2999","55"
"falabella","bose","televisor 50"" 4k uhd smart tv le50u7970s"," 1799","2999","50"
"falabella","bose","tv led 40"" smart full hd"," 1799","2999","40"
"falabella","bose","rack tv 13"" a 41"""," 1799","2999","13"
"falabella","bose","televisor 85"" 4k uhd smart tv xbr-85x855f la8"," 1799","2999","85"
"falabella","bose","televisor 55"" 4k uhd smart tv 55u6285"," 1799","2999","55"
"falabella","panasonic","televisor 65"" 4k uhd smart tv tc-65fx800w"," 6999","5499","65"
"falabella","panasonic","televisor 43"" fhd smart tv 43s5285"," 6999","5499","43"
"falabella","panasonic","tv led 32"" smart hd"," 6999","5499","32"
"falabella","panasonic","televisor 40"" fhd smart tv kdl-40w655d"," 6999","5499","40"
"falabella","panasonic","led uhd 4k 50"" smart tv un50ru7400gxpe serie ru7400"," 6999","5499","50"
"falabella","panasonic","televisor 43"" 4k uhd smart tv tc-43fx500p"," 6999","5499","43"
"falabella","panasonic","televisor 55"" 4k uhd smart tv celed95965"," 6999","5499","55"
"falabella","panasonic","rack brazo p/tv 14-42"""," 6999","5499","42"
"falabella","panasonic","televisor led 49"" nanocell smart tv ai 49sm8000"," 6999","5499","49"
"falabella","panasonic","tv led 19"" hd"," 6999","5499","19"
"falabella","panasonic","televisor 55"" 4k uhd smart tv xbr-55a8f la8 "," 6999","5499","55"
