"ecommerce","marca","producto","precio_antes","precio_actual","pulgadas"
"falabella","lg","televisor 32"" hd smart tv 32lk540bpsa"," 1099.0"," 1099.0","32"
"falabella","imaco","televisor 55"" fhd led55isdbt"," 1699.0"," 1699.0","55"
"falabella","prima","televisor 43"" fhd smart tv kdl43md662ln"," 1159.0"," 1159.0","43"
"falabella","philips","televisor 50"" 4k uhd smart tv 50pud6513"," 1999.0"," 1199.0","50"
"falabella","sony","televisor 65"" 4k uhd smart tv xbr-65x905f la8"," 8799.0"," 4499.0","65"
"falabella","samsung","led uhd 4k 55"" smart tv un55ru7400gxpe serie ru7400"," 2999.0"," 2599.0","55"
"falabella","continental","rack tv 32"" a 65""","   49.0","   49.0","32"
"falabella","panasonic","televisor 65"" 4k uhd smart tv tc-65gx500p"," 3599.0"," 3299.0","65"
"falabella","samsung","led uhd 4k 65"" curvo smart tv un65ru7300gxpe serie ru7300"," 4299.0"," 2999.0","65"
"falabella","imaco","televisor 28"" hd sintonizador led28isbt","  599.0","  599.0","28"
"falabella","aoc","televisor 55"" 4k uhd smart tv 55u6285"," 2499.0"," 1299.0","55"
"falabella","samsung","televisor qled 55"" 4k uhd smart tv qn55q80ragxpe"," 9999.0"," 6999.0","55"
"falabella","samsung","televisor 55"" 4k uhd smart tv un55nu7400gxpe"," 3999.0"," 2199.0","55"
"falabella","aoc","televisor 32"" hd smart tv 32s5285","  799.0","  599.0","32"
"falabella","philips","televisor 55"" 4k uhd smart tv 55pud6703"," 2599.0"," 1599.0","55"
"falabella","prima","tv led 32"" smart hd","  699.0","  699.0","32"
"falabella","lg","televisor 43"" 4k uhd smart tv 43uk6200psa"," 1399.0"," 1399.0","43"
"falabella","sony","televisor 55"" 4k uhd smart tv xbr-55x905f la8"," 5499.0"," 3299.0","55"
"falabella","samsung","led uhd 4k 75"" smart tv un75ru7100gxpe serie ru7100"," 6999.0"," 5699.0","75"
"falabella","panasonic","televisor 49"" 4k uhd smart tv tc-49fx800w"," 3499.0"," 1999.0","49"
"falabella","sony","televisor 85"" 4k uhd smart tv xbr-85x855f la8","23499.0","10599.0","85"
"falabella","panasonic","tv 4k ultra hd 50"" gx500"," 1899.0"," 1299.0","50"
"falabella","samsung","televisor qled 75"" 4k uhd smart tv qn75q80ragxpe","14999.0","12999.0","75"
"falabella","samsung","led uhd 4k 43"" smart tv un43ru7100gxpe serie ru7100"," 1599.0"," 1199.0","43"
