"ecommerce","producto","precio_antes","precio_actual","marca","pulgadas"
"la-curacao","reproductor blu-ray sony full hd bdp-s1500","1899","999","sony","reproductor blu-ray sony full hd bdp-s1500"
"la-curacao","tv led orizon hd tv 32"" or322led","1899","999","orizon","32"
"la-curacao","tv led imaco hd 24"" led24isbt","1899","999","imaco","24"
"la-curacao","tv led imaco hd 28"" led28isbt","1899","999","imaco","28"
"la-curacao","tv led imaco hd 32"" led32isbt","1899","999","imaco","32"
"la-curacao","tv led hyundai hd 32"" hyled3236d","1899","999","hyundai","32"
"la-curacao","tv hyundai ultra hd 4k smart 55"" hyled5514im4k","1899","999","hyundai","55"
"la-curacao","tv panasonic hd smart 43"" tc-43fs500p","1899","999","panasonic","43"
"la-curacao","tv hisense full hd smart 43"" h4318fh5ip","1899","999","hisense","43"
"la-curacao","tv hisense full hd smart 49"" hle4918rtfipe","1899","999","hisense","49"
"la-curacao","magic remote lg an-mr18ba select 2018 lg ai - negro","1899","999","lg","magic remote lg an-mr18ba select 2018 lg ai - negro"
"la-curacao","tv led daewoo hd 32"" l32t660bts","1899","999","daewoo","32"
"la-curacao","tv lg ultra hd 4k smart ai 55"" oled55b8ssc","1899","999","lg","55"
"la-curacao","tv lg ultra hd 4k smart ai 65"" oled65b8ssc","1899","999","lg","65"
"la-curacao","tv qled samsung curvo ultra hd 4k smart 65"" qn65q8cna","1899","999","samsung","65"
"la-curacao","tv hisense ultra hd smart 50"" h5018uh6ip","1899","999","hisense","50"
"la-curacao","tv oled tc-55fz950w 55"" uhd 4k smart panasonic","1899","999","panasonic","55"
"la-curacao","tv lg oled ultra hd 4k smart tv ai 65"" oled65e9psa","1899","999","lg","65"
"la-curacao","tv lg oled ultra hd 4k smart tv ai 55"" oled55c9psa","1899","999","lg","55"
"la-curacao","tv lg oled ultra hd 4k smart tv ai 65"" oled65c9psa","1899","999","lg","65"
"la-curacao","televisor imaco hd led 19"" led19hd","1899","999","imaco","19"
"la-curacao","tv qled samsung curvo ultra hd 4k smart 55"" qn-55q8cna","1899","999","samsung","55"
"la-curacao","tv led hyundai hd smart 32"" hyled3239intm","1899","999","hyundai","32"
"la-curacao","tv led orizon hd 24"" or2419k4ip","1899","999","orizon","24"
"la-curacao","tv led orizon hd 32"" or3219k4ip","1899","999","orizon","32"
"la-curacao","tv led orizon hd smart 32"" or3219k5ip","1899","999","orizon","32"
"la-curacao","tv led orizon full hd smart 39"" or3919fk5ip","1899","999","orizon","39"
"la-curacao","tv hisense hd 32"" h3218h4ip","1899","999","hisense","32"
"la-curacao","tv led hisense ultra hd smart 65"" h6518uh6ip","1899","999","hisense","65"
"la-curacao","tv panasonic ultra hd 4k smart tv 43"" tc-43gx500p","1899","999","panasonic","43"
"la-curacao","tv panasonic ultra hd 4k smart tv 50"" tc-50gx500p","1899","999","panasonic","50"
"la-curacao","tv panasonic ultra hd 4k smart tv 55"" tc-55gx500p","1899","999","panasonic","55"
"la-curacao","tv imaco led hd 43isdbt 43""","1899","999","imaco","43"
"la-curacao","tv imaco led uhd 55isdbt 55""","1899","999","imaco","55"
"la-curacao","tv imaco led uhd 65isdbt 65""","1899","999","imaco","65"
